,Survived,Sex,Age,SibSp,Fare
0,0,0,22.0,1,7.25
1,1,1,38.0,1,71.2833
2,1,1,26.0,0,7.925
3,1,1,35.0,1,53.1
4,0,0,35.0,0,8.05
5,0,0,29.69911764705882,0,8.4583
6,0,0,54.0,0,51.8625
7,0,0,2.0,3,21.075
8,1,1,27.0,0,11.1333
9,1,1,14.0,1,30.0708
10,1,1,4.0,1,16.7
11,1,1,58.0,0,26.55
12,0,0,20.0,0,8.05
13,0,0,39.0,1,31.275
14,0,1,14.0,0,7.8542
15,1,1,55.0,0,16.0
16,0,0,2.0,4,29.125
17,1,0,29.69911764705882,0,13.0
18,0,1,31.0,1,18.0
19,1,1,29.69911764705882,0,7.225
20,0,0,35.0,0,26.0
21,1,0,34.0,0,13.0
22,1,1,15.0,0,8.0292
23,1,0,28.0,0,35.5
24,0,1,8.0,3,21.075
25,1,1,38.0,1,31.3875
26,0,0,29.69911764705882,0,7.225
27,0,0,19.0,3,263.0
28,1,1,29.69911764705882,0,7.8792
29,0,0,29.69911764705882,0,7.8958
30,0,0,40.0,0,27.7208
31,1,1,29.69911764705882,1,146.5208
32,1,1,29.69911764705882,0,7.75
33,0,0,66.0,0,10.5
34,0,0,28.0,1,82.1708
35,0,0,42.0,1,52.0
36,1,0,29.69911764705882,0,7.2292
37,0,0,21.0,0,8.05
38,0,1,18.0,2,18.0
39,1,1,14.0,1,11.2417
40,0,1,40.0,1,9.475
41,0,1,27.0,1,21.0
42,0,0,29.69911764705882,0,7.8958
43,1,1,3.0,1,41.5792
44,1,1,19.0,0,7.8792
45,0,0,29.69911764705882,0,8.05
46,0,0,29.69911764705882,1,15.5
47,1,1,29.69911764705882,0,7.75
48,0,0,29.69911764705882,2,21.6792
49,0,1,18.0,1,17.8
50,0,0,7.0,4,39.6875
51,0,0,21.0,0,7.8
52,1,1,49.0,1,76.7292
53,1,1,29.0,1,26.0
54,0,0,65.0,0,61.9792
55,1,0,29.69911764705882,0,35.5
56,1,1,21.0,0,10.5
57,0,0,28.5,0,7.2292
58,1,1,5.0,1,27.75
59,0,0,11.0,5,46.9
60,0,0,22.0,0,7.2292
61,1,1,38.0,0,80.0
62,0,0,45.0,1,83.475
63,0,0,4.0,3,27.9
64,0,0,29.69911764705882,0,27.7208
65,1,0,29.69911764705882,1,15.2458
66,1,1,29.0,0,10.5
67,0,0,19.0,0,8.1583
68,1,1,17.0,4,7.925
69,0,0,26.0,2,8.6625
70,0,0,32.0,0,10.5
71,0,1,16.0,5,46.9
72,0,0,21.0,0,73.5
73,0,0,26.0,1,14.4542
74,1,0,32.0,0,56.4958
75,0,0,25.0,0,7.65
76,0,0,29.69911764705882,0,7.8958
77,0,0,29.69911764705882,0,8.05
78,1,0,0.83,0,29.0
79,1,1,30.0,0,12.475
80,0,0,22.0,0,9.0
81,1,0,29.0,0,9.5
82,1,1,29.69911764705882,0,7.7875
83,0,0,28.0,0,47.1
84,1,1,17.0,0,10.5
85,1,1,33.0,3,15.85
86,0,0,16.0,1,34.375
87,0,0,29.69911764705882,0,8.05
88,1,1,23.0,3,263.0
89,0,0,24.0,0,8.05
90,0,0,29.0,0,8.05
91,0,0,20.0,0,7.8542
92,0,0,46.0,1,61.175
93,0,0,26.0,1,20.575
94,0,0,59.0,0,7.25
95,0,0,29.69911764705882,0,8.05
96,0,0,71.0,0,34.6542
97,1,0,23.0,0,63.3583
98,1,1,34.0,0,23.0
99,0,0,34.0,1,26.0
100,0,1,28.0,0,7.8958
101,0,0,29.69911764705882,0,7.8958
102,0,0,21.0,0,77.2875
103,0,0,33.0,0,8.6542
104,0,0,37.0,2,7.925
105,0,0,28.0,0,7.8958
106,1,1,21.0,0,7.65
107,1,0,29.69911764705882,0,7.775
108,0,0,38.0,0,7.8958
109,1,1,29.69911764705882,1,24.15
110,0,0,47.0,0,52.0
111,0,1,14.5,1,14.4542
112,0,0,22.0,0,8.05
113,0,1,20.0,1,9.825
114,0,1,17.0,0,14.4583
115,0,0,21.0,0,7.925
116,0,0,70.5,0,7.75
117,0,0,29.0,1,21.0
118,0,0,24.0,0,247.5208
119,0,1,2.0,4,31.275
120,0,0,21.0,2,73.5
121,0,0,29.69911764705882,0,8.05
122,0,0,32.5,1,30.0708
123,1,1,32.5,0,13.0
124,0,0,54.0,0,77.2875
125,1,0,12.0,1,11.2417
126,0,0,29.69911764705882,0,7.75
127,1,0,24.0,0,7.1417
128,1,1,29.69911764705882,1,22.3583
129,0,0,45.0,0,6.975
130,0,0,33.0,0,7.8958
131,0,0,20.0,0,7.05
132,0,1,47.0,1,14.5
133,1,1,29.0,1,26.0
134,0,0,25.0,0,13.0
135,0,0,23.0,0,15.0458
136,1,1,19.0,0,26.2833
137,0,0,37.0,1,53.1
138,0,0,16.0,0,9.2167
139,0,0,24.0,0,79.2
140,0,1,29.69911764705882,0,15.2458
141,1,1,22.0,0,7.75
142,1,1,24.0,1,15.85
143,0,0,19.0,0,6.75
144,0,0,18.0,0,11.5
145,0,0,19.0,1,36.75
146,1,0,27.0,0,7.7958
147,0,1,9.0,2,34.375
148,0,0,36.5,0,26.0
149,0,0,42.0,0,13.0
150,0,0,51.0,0,12.525
151,1,1,22.0,1,66.6
152,0,0,55.5,0,8.05
153,0,0,40.5,0,14.5
154,0,0,29.69911764705882,0,7.3125
155,0,0,51.0,0,61.3792
156,1,1,16.0,0,7.7333
157,0,0,30.0,0,8.05
158,0,0,29.69911764705882,0,8.6625
159,0,0,29.69911764705882,8,69.55
160,0,0,44.0,0,16.1
161,1,1,40.0,0,15.75
162,0,0,26.0,0,7.775
163,0,0,17.0,0,8.6625
164,0,0,1.0,4,39.6875
165,1,0,9.0,0,20.525
166,1,1,29.69911764705882,0,55.0
167,0,1,45.0,1,27.9
168,0,0,29.69911764705882,0,25.925
169,0,0,28.0,0,56.4958
170,0,0,61.0,0,33.5
171,0,0,4.0,4,29.125
172,1,1,1.0,1,11.1333
173,0,0,21.0,0,7.925
174,0,0,56.0,0,30.6958
175,0,0,18.0,1,7.8542
176,0,0,29.69911764705882,3,25.4667
177,0,1,50.0,0,28.7125
178,0,0,30.0,0,13.0
179,0,0,36.0,0,0.0
180,0,1,29.69911764705882,8,69.55
181,0,0,29.69911764705882,0,15.05
182,0,0,9.0,4,31.3875
183,1,0,1.0,2,39.0
184,1,1,4.0,0,22.025
185,0,0,29.69911764705882,0,50.0
186,1,1,29.69911764705882,1,15.5
187,1,0,45.0,0,26.55
188,0,0,40.0,1,15.5
189,0,0,36.0,0,7.8958
190,1,1,32.0,0,13.0
191,0,0,19.0,0,13.0
192,1,1,19.0,1,7.8542
193,1,0,3.0,1,26.0
194,1,1,44.0,0,27.7208
195,1,1,58.0,0,146.5208
196,0,0,29.69911764705882,0,7.75
197,0,0,42.0,0,8.4042
198,1,1,29.69911764705882,0,7.75
199,0,1,24.0,0,13.0
200,0,0,28.0,0,9.5
201,0,0,29.69911764705882,8,69.55
202,0,0,34.0,0,6.4958
203,0,0,45.5,0,7.225
204,1,0,18.0,0,8.05
205,0,1,2.0,0,10.4625
206,0,0,32.0,1,15.85
207,1,0,26.0,0,18.7875
208,1,1,16.0,0,7.75
209,1,0,40.0,0,31.0
210,0,0,24.0,0,7.05
211,1,1,35.0,0,21.0
212,0,0,22.0,0,7.25
213,0,0,30.0,0,13.0
214,0,0,29.69911764705882,1,7.75
215,1,1,31.0,1,113.275
216,1,1,27.0,0,7.925
217,0,0,42.0,1,27.0
218,1,1,32.0,0,76.2917
219,0,0,30.0,0,10.5
220,1,0,16.0,0,8.05
221,0,0,27.0,0,13.0
222,0,0,51.0,0,8.05
223,0,0,29.69911764705882,0,7.8958
224,1,0,38.0,1,90.0
225,0,0,22.0,0,9.35
226,1,0,19.0,0,10.5
227,0,0,20.5,0,7.25
228,0,0,18.0,0,13.0
229,0,1,29.69911764705882,3,25.4667
230,1,1,35.0,1,83.475
231,0,0,29.0,0,7.775
232,0,0,59.0,0,13.5
233,1,1,5.0,4,31.3875
234,0,0,24.0,0,10.5
235,0,1,29.69911764705882,0,7.55
236,0,0,44.0,1,26.0
237,1,1,8.0,0,26.25
238,0,0,19.0,0,10.5
239,0,0,33.0,0,12.275
240,0,1,29.69911764705882,1,14.4542
241,1,1,29.69911764705882,1,15.5
242,0,0,29.0,0,10.5
243,0,0,22.0,0,7.125
244,0,0,30.0,0,7.225
245,0,0,44.0,2,90.0
246,0,1,25.0,0,7.775
247,1,1,24.0,0,14.5
248,1,0,37.0,1,52.5542
249,0,0,54.0,1,26.0
250,0,0,29.69911764705882,0,7.25
251,0,1,29.0,1,10.4625
252,0,0,62.0,0,26.55
253,0,0,30.0,1,16.1
254,0,1,41.0,0,20.2125
255,1,1,29.0,0,15.2458
256,1,1,29.69911764705882,0,79.2
257,1,1,30.0,0,86.5
258,1,1,35.0,0,512.3292
259,1,1,50.0,0,26.0
260,0,0,29.69911764705882,0,7.75
261,1,0,3.0,4,31.3875
262,0,0,52.0,1,79.65
263,0,0,40.0,0,0.0
264,0,1,29.69911764705882,0,7.75
265,0,0,36.0,0,10.5
266,0,0,16.0,4,39.6875
267,1,0,25.0,1,7.775
268,1,1,58.0,0,153.4625
269,1,1,35.0,0,135.6333
270,0,0,29.69911764705882,0,31.0
271,1,0,25.0,0,0.0
272,1,1,41.0,0,19.5
273,0,0,37.0,0,29.7
274,1,1,29.69911764705882,0,7.75
275,1,1,63.0,1,77.9583
276,0,1,45.0,0,7.75
277,0,0,29.69911764705882,0,0.0
278,0,0,7.0,4,29.125
279,1,1,35.0,1,20.25
280,0,0,65.0,0,7.75
281,0,0,28.0,0,7.8542
282,0,0,16.0,0,9.5
283,1,0,19.0,0,8.05
284,0,0,29.69911764705882,0,26.0
285,0,0,33.0,0,8.6625
286,1,0,30.0,0,9.5
287,0,0,22.0,0,7.8958
288,1,0,42.0,0,13.0
289,1,1,22.0,0,7.75
290,1,1,26.0,0,78.85
291,1,1,19.0,1,91.0792
292,0,0,36.0,0,12.875
293,0,1,24.0,0,8.85
294,0,0,24.0,0,7.8958
295,0,0,29.69911764705882,0,27.7208
296,0,0,23.5,0,7.2292
297,0,1,2.0,1,151.55
298,1,0,29.69911764705882,0,30.5
299,1,1,50.0,0,247.5208
300,1,1,29.69911764705882,0,7.75
301,1,0,29.69911764705882,2,23.25
302,0,0,19.0,0,0.0
303,1,1,29.69911764705882,0,12.35
304,0,0,29.69911764705882,0,8.05
305,1,0,0.92,1,151.55
306,1,1,29.69911764705882,0,110.8833
307,1,1,17.0,1,108.9
308,0,0,30.0,1,24.0
309,1,1,30.0,0,56.9292
310,1,1,24.0,0,83.1583
311,1,1,18.0,2,262.375
312,0,1,26.0,1,26.0
313,0,0,28.0,0,7.8958
314,0,0,43.0,1,26.25
315,1,1,26.0,0,7.8542
316,1,1,24.0,1,26.0
317,0,0,54.0,0,14.0
318,1,1,31.0,0,164.8667
319,1,1,40.0,1,134.5
320,0,0,22.0,0,7.25
321,0,0,27.0,0,7.8958
322,1,1,30.0,0,12.35
323,1,1,22.0,1,29.0
324,0,0,29.69911764705882,8,69.55
325,1,1,36.0,0,135.6333
326,0,0,61.0,0,6.2375
327,1,1,36.0,0,13.0
328,1,1,31.0,1,20.525
329,1,1,16.0,0,57.9792
330,1,1,29.69911764705882,2,23.25
331,0,0,45.5,0,28.5
332,0,0,38.0,0,153.4625
333,0,0,16.0,2,18.0
334,1,1,29.69911764705882,1,133.65
335,0,0,29.69911764705882,0,7.8958
336,0,0,29.0,1,66.6
337,1,1,41.0,0,134.5
338,1,0,45.0,0,8.05
339,0,0,45.0,0,35.5
340,1,0,2.0,1,26.0
341,1,1,24.0,3,263.0
342,0,0,28.0,0,13.0
343,0,0,25.0,0,13.0
344,0,0,36.0,0,13.0
345,1,1,24.0,0,13.0
346,1,1,40.0,0,13.0
347,1,1,29.69911764705882,1,16.1
348,1,0,3.0,1,15.9
349,0,0,42.0,0,8.6625
350,0,0,23.0,0,9.225
351,0,0,29.69911764705882,0,35.0
352,0,0,15.0,1,7.2292
353,0,0,25.0,1,17.8
354,0,0,29.69911764705882,0,7.225
355,0,0,28.0,0,9.5
356,1,1,22.0,0,55.0
357,0,1,38.0,0,13.0
358,1,1,29.69911764705882,0,7.8792
359,1,1,29.69911764705882,0,7.8792
360,0,0,40.0,1,27.9
361,0,0,29.0,1,27.7208
362,0,1,45.0,0,14.4542
363,0,0,35.0,0,7.05
364,0,0,29.69911764705882,1,15.5
365,0,0,30.0,0,7.25
366,1,1,60.0,1,75.25
367,1,1,29.69911764705882,0,7.2292
368,1,1,29.69911764705882,0,7.75
369,1,1,24.0,0,69.3
370,1,0,25.0,1,55.4417
371,0,0,18.0,1,6.4958
372,0,0,19.0,0,8.05
373,0,0,22.0,0,135.6333
374,0,1,3.0,3,21.075
375,1,1,29.69911764705882,1,82.1708
376,1,1,22.0,0,7.25
377,0,0,27.0,0,211.5
378,0,0,20.0,0,4.0125
379,0,0,19.0,0,7.775
380,1,1,42.0,0,227.525
381,1,1,1.0,0,15.7417
382,0,0,32.0,0,7.925
383,1,1,35.0,1,52.0
384,0,0,29.69911764705882,0,7.8958
385,0,0,18.0,0,73.5
386,0,0,1.0,5,46.9
387,1,1,36.0,0,13.0
388,0,0,29.69911764705882,0,7.7292
389,1,1,17.0,0,12.0
390,1,0,36.0,1,120.0
391,1,0,21.0,0,7.7958
392,0,0,28.0,2,7.925
393,1,1,23.0,1,113.275
394,1,1,24.0,0,16.7
395,0,0,22.0,0,7.7958
396,0,1,31.0,0,7.8542
397,0,0,46.0,0,26.0
398,0,0,23.0,0,10.5
399,1,1,28.0,0,12.65
400,1,0,39.0,0,7.925
401,0,0,26.0,0,8.05
402,0,1,21.0,1,9.825
403,0,0,28.0,1,15.85
404,0,1,20.0,0,8.6625
405,0,0,34.0,1,21.0
406,0,0,51.0,0,7.75
407,1,0,3.0,1,18.75
408,0,0,21.0,0,7.775
409,0,1,29.69911764705882,3,25.4667
410,0,0,29.69911764705882,0,7.8958
411,0,0,29.69911764705882,0,6.8583
412,1,1,33.0,1,90.0
413,0,0,29.69911764705882,0,0.0
414,1,0,44.0,0,7.925
415,0,1,29.69911764705882,0,8.05
416,1,1,34.0,1,32.5
417,1,1,18.0,0,13.0
418,0,0,30.0,0,13.0
419,0,1,10.0,0,24.15
420,0,0,29.69911764705882,0,7.8958
421,0,0,21.0,0,7.7333
422,0,0,29.0,0,7.875
423,0,1,28.0,1,14.4
424,0,0,18.0,1,20.2125
425,0,0,29.69911764705882,0,7.25
426,1,1,28.0,1,26.0
427,1,1,19.0,0,26.0
428,0,0,29.69911764705882,0,7.75
429,1,0,32.0,0,8.05
430,1,0,28.0,0,26.55
431,1,1,29.69911764705882,1,16.1
432,1,1,42.0,1,26.0
433,0,0,17.0,0,7.125
434,0,0,50.0,1,55.9
435,1,1,14.0,1,120.0
436,0,1,21.0,2,34.375
437,1,1,24.0,2,18.75
438,0,0,64.0,1,263.0
439,0,0,31.0,0,10.5
440,1,1,45.0,1,26.25
441,0,0,20.0,0,9.5
442,0,0,25.0,1,7.775
443,1,1,28.0,0,13.0
444,1,0,29.69911764705882,0,8.1125
445,1,0,4.0,0,81.8583
446,1,1,13.0,0,19.5
447,1,0,34.0,0,26.55
